index,fungus,count
1633963F1628712,k__Fungi;p__Basidiomycota;__;__;__;__;__;__,24.0
1633964F1628713,k__Fungi;p__Basidiomycota;__;__;__;__;__;__,52.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;__;__;__,18.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_sp;sh__SH0934997.10FU,15.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_sp;sh__SH0934997.10FU,7.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerellaceae_gen_Incertae_sedis;s__Plectosphaerellaceae_sp;sh__SH1002448.10FU,1106.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerellaceae_gen_Incertae_sedis;s__Plectosphaerellaceae_sp;sh__SH1002448.10FU,498.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Acrostalagmus;s__Acrostalagmus_luteoalbus;sh__SH1002322.10FU,26.0
1633957F1628706,k__Fungi;p__Ascomycota;__;__;__;__;__;__,238.0
1633958F1628707,k__Fungi;p__Ascomycota;__;__;__;__;__;__,204.0
1633959F1628708,k__Fungi;p__Ascomycota;__;__;__;__;__;__,48.0
1633960F1628709,k__Fungi;p__Ascomycota;__;__;__;__;__;__,10.0
1633963F1628712,k__Fungi;p__Ascomycota;__;__;__;__;__;__,306.0
1633964F1628713,k__Fungi;p__Ascomycota;__;__;__;__;__;__,4047.0
1633963F1628712,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycota_cls_Incertae_sedis;o__Aphelidiomycota_ord_Incertae_sedis;f__Aphelidiomycota_fam_Incertae_sedis;g__Aphelidiomycota_gen_Incertae_sedis;s__Aphelidiomycota_sp;__,19.0
1633964F1628713,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycota_cls_Incertae_sedis;o__Aphelidiomycota_ord_Incertae_sedis;f__Aphelidiomycota_fam_Incertae_sedis;g__Aphelidiomycota_gen_Incertae_sedis;s__Aphelidiomycota_sp;__,61.0
1633963F1628712,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycota_cls_Incertae_sedis;o__Aphelidiomycota_ord_Incertae_sedis;f__Aphelidiomycota_fam_Incertae_sedis;g__Aphelidiomycota_gen_Incertae_sedis;s__Aphelidiomycota_sp;sh__SH0923710.10FU,21.0
1633964F1628713,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycota_cls_Incertae_sedis;o__Aphelidiomycota_ord_Incertae_sedis;f__Aphelidiomycota_fam_Incertae_sedis;g__Aphelidiomycota_gen_Incertae_sedis;s__Aphelidiomycota_sp;sh__SH0923710.10FU,22.0
1633964F1628713,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycota_cls_Incertae_sedis;o__Aphelidiomycota_ord_Incertae_sedis;f__Aphelidiomycota_fam_Incertae_sedis;g__Aphelidiomycota_gen_Incertae_sedis;s__Aphelidiomycota_sp;sh__SH0995263.10FU,19.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__;__;__,27.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__;__;__,29.0
1633959F1628708,k__Fungi;__;__;__;__;__;__;__,3.0
1633960F1628709,k__Fungi;__;__;__;__;__;__;__,3.0
1633961F1628710,k__Fungi;__;__;__;__;__;__;__,3.0
1633962F1628711,k__Fungi;__;__;__;__;__;__;__,3.0
1633963F1628712,k__Fungi;__;__;__;__;__;__;__,143.0
1633964F1628713,k__Fungi;__;__;__;__;__;__;__,179.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Pleurotheciales;f__Pleurotheciaceae;g__Pleurotheciella;__;__,27.0
